Wivenhoe - RowhedgeSD,2309
Wivenhoe - WivenhoeSD,7916
Wix,544
Wixams,2341
Woburn,1007
Woodham Mortimer,617
Woodhurst,377
Woodton,730
Woolpit,1867
Wootton (Bedford) - GibraltarSD,539
Wootton (Bedford) - Wootton (Bedford)SD,5855
Workhouse End,354
Worlington,552
Worlingworth,883
Wortham,461
Wortwell,558
Wreningham,328
Wrentham,789
Wrestlingworth,605
Writtle,4949
Wymondham (South Norfolk),16869
Yaxham,424
Yaxley,9494
Yelling,400
Yoxford,786
Aldwincle,328
Alford,3900
Alfreton/South Normanton - AlfretonSD,24333
Alfreton/South Normanton - Pye BridgeSD,286
Alfreton/South Normanton - South NormantonSD,15991
Allington,613
Alvingham,284
Ancaster,1308
Anstey,7578
Anwick,374
Apperknowle,269
Appleby Magna,1172
Arnesby,335
Asfordby,2625
Ashbourne,9125
Ashby-de-la-Zouch,14673
Ashley (Kettering),236
Ashover,589
Ashton (South Northamptonshire),436
Aslackby,257
Aslockton - AslocktonSD,1217
Aslockton - Whatton-in-the-ValeSD,646
Aston-on-Trent,2487
Atherstone - WitherleySD,600
Aynho,659
Badby,697
Bagworth,1757
Bakewell,3657
Bamford,772
Barby,929
Bardney,2096
Barkston,533
Barlborough,2970
Barlestone,2624
Barnwell,399
Barrow upon Trent,593
Barrowby,1967
Barrowden,500
Baslow,1219
Bassingham,1526
Baston,1608
Beckingham,1203
Belchford,252
Belper,23936
Belton (North West Leicestershire),755
Belton-in-Rutland,415
Bicker,692
Billesdon,914
Billingborough - BillingboroughSD,1420
Billingborough - HorblingSD,486
Billinghay,2194
Bilsby,248
Bilsthorpe,3496
Binbrook,923
Bingham,10349
Bircotes,8683
Blackfordby,939
Blakesley,533
Bleasby,868
Blidworth,4400
Blisworth,1607
Blyth (Bassetlaw),989
Blyton,1194
Bolsover,12198
Bonsall,827
Boston,46506
Bottesford,3296
Bourne,17040
Bozeat,2160
Bracebridge Heath,6081
Brackley,15775
Bradwell (Derbyshire Dales),1357
Brafield-on-the-Green,652
Brailsford,805
Branston,4079
Brant Broughton,791
Brassington,572
Braunston,1441
Braunston-in-Rutland,505
Braybrooke,477
Breedon on the Hill,718
Brigstock,1396
Brixworth,5938
Brookenby,676
Broughton (Kettering),2289
Broughton Astley,9437
Bugbrooke,2944
Burgh le Marsh,2138
Burton Joyce,3892
Burton Lazars,417
Burton Overy,397
Burton on the Wolds,1204
Burton upon Trent - LintonSD,2009
Burton upon Trent - SwadlincoteSD,50412
Burton-by-Lincoln,343
Butterwick,1366
Buxton (High Peak),22399
Byfield,1310
Caistor,2812
Calver,1026
Calverton,7173
Canwick,341
Carlby,572
Carlton (Hinckley and Bosworth),378
Carlton in Lindrick,5439
Carlton-le-Moorland,556
Carlton-on-Trent,223
Castle Bytham,497
Castle Donington,7331
Castleton (High Peak),594
Caunton,523
Caythorpe,1350
Chacombe,677
Chapel-en-le-Frith,7616
Charlesworth,886
Charlton (South Northamptonshire),525
Cherry Willingham - Cherry WillinghamSD,3350
Cherry Willingham - ReephamSD,941
Chesterfield - Barrow HillSD,1044
Chesterfield - ChesterfieldSD,89466
Chesterfield - CutthorpeSD,538
Chesterfield - Hardwick WoodSD,249
Chesterfield - HolymoorsideSD,1419
